project,release,role,python,baseline_status,passed,failed,errors,skipped,xfailed,eligible_test_policy,controlled_exclusion,environment_note
attrs,24.1.0,older,3.12.14,PASS,1329,0,0,5,,native functional suite,,Fresh Python 3.12 normalized environment; no source/test modifications.
attrs,25.3.0,middle,3.12.14,PASS,1338,0,0,8,,native functional suite,,Fresh Python 3.12 normalized environment; no source/test modifications.
attrs,26.1.0,newer,3.12.14,PASS,1376,0,0,9,,native functional suite,,Fresh Python 3.12 normalized environment; no source/test modifications.
cattrs,24.1.0,older,3.12.14,PASS,773,0,0,1,15,native functional suite; bench directory excluded,bench directory excluded from functional regression-test universe,Historical dependency environment reconstructed from frozen pdm.lock; locked optional backends restored; exact source tag/commit independently verified; setuptools-scm release version supplied during build because isolated Windows build environment could not invoke Git; no source/test modifications.
cattrs,25.3.0,middle,3.12.14,PASS,951,0,0,0,15,native functional suite; bench directory excluded,bench directory excluded from functional regression-test universe,Exact Git-tag execution source verified byte-equivalent to frozen archive; upstream-declared test/optional dependencies used; no source/test modifications.
cattrs,26.1.0,newer,3.12.14,PASS,1010,0,0,0,15,native functional suite; bench directory excluded,bench directory excluded from functional regression-test universe,Exact Git-tag execution source verified byte-equivalent to frozen archive; upstream-declared test/optional dependencies used; no source/test modifications.
boltons,24.1.0,older,3.12.14,PASS_ELIGIBLE_UNIVERSE,418,0,0,0,0,native suite excluding exactly one host-line-ending-sensitive test,tests/test_jsonutils.py::test_reverse_iter_lines,pytest 7.4.4 used for historical pytest-hook compatibility. Excluded test independently demonstrated Windows CRLF sensitivity; same exclusion applied consistently to all boltons releases. No source/test/fixture modifications.
boltons,25.0.0,middle,3.12.14,PASS_ELIGIBLE_UNIVERSE,422,0,0,0,0,native suite excluding exactly one host-line-ending-sensitive test,tests/test_jsonutils.py::test_reverse_iter_lines,pytest 7.4.4 used for historical pytest-hook compatibility. Excluded test independently demonstrated Windows CRLF sensitivity; same exclusion applied consistently to all boltons releases. No source/test/fixture modifications.
boltons,26.1.0,newer,3.12.14,PASS_ELIGIBLE_UNIVERSE,444,0,0,0,0,native suite excluding exactly one host-line-ending-sensitive test,tests/test_jsonutils.py::test_reverse_iter_lines,Current compatible pytest environment. Same newline-sensitive test excluded consistently across all releases. No source/test/fixture modifications.
more-itertools,10.5.0,older,3.12.14,PASS,663,0,0,1,0,native functional suite,,Python 3.12 normalized baseline; no source/test modifications.
more-itertools,10.8.0,middle,3.12.14,PASS,695,0,0,1,0,native functional suite,,Python 3.12 normalized baseline; no source/test modifications.
more-itertools,11.1.0,newer,3.12.14,PASS,722,0,0,0,0,native functional suite,,Python 3.12 normalized baseline; no source/test modifications.
